"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"Standard deviation",1.6387219604384,1.31194875839797,1.20738936572472,0.87855203241529,0.724524964122349,0.685150169012026,0.470420098047969,0.384806173557026
"Proportion of Variance",0.33568,0.21515,0.18222,0.09648,0.06562,0.05868,0.02766,0.01851
"Cumulative Proportion",0.33568,0.55083,0.73305,0.82953,0.89515,0.95383,0.98149,1
