"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"deviance",11395.3775820831,52.0565204930884,11295.0864133776,11360.2742851581,11395.5642076757,11429.1905027336,11500.1750589803,1.00097802443677,10000
"fert.bclim[1,1]",0.0212950604516139,0.0466549566224348,-0.047944460284979,-0.00521620471677233,0.0163780249551215,0.0390034878851628,0.1563888190635,1.00119125635382,6000
"fert.bclim[2,1]",0.00278064752775827,0.0242484557627186,-0.0461019721940915,-0.0129726334009112,0.0030799969971463,0.0187457878867522,0.0499072111241853,1.00090574105956,10000
"fert.bclim[3,1]",0.0756423720351977,0.0681241179140708,-0.0139877029579031,0.0276587327611729,0.0531713109461546,0.117156757682532,0.233755207062473,1.00112180728447,7500
"fert.bclim[1,2]",-0.0150145380101202,0.0447785039645774,-0.107149332752234,-0.0328223308963504,-0.01110976930821,0.0103336696213924,0.0495327841541374,1.00102059215195,10000
"fert.bclim[2,2]",0.0113532218908712,0.0295404147404884,-0.0454765772216479,-0.00786595181849322,0.0114530459539788,0.0302297729874502,0.0676162746702506,1.00105019078978,10000
"fert.bclim[3,2]",0.0089724068634069,0.0295461020772996,-0.0474189861242508,-0.0105120214170955,0.00839934387339025,0.0278281318565893,0.0681730894174275,1.00098341579906,10000
"fert.bclim[1,3]",0.00657516635843106,0.0406576465622892,-0.0604200226056384,-0.0160403332286968,0.00557340534310808,0.0268721054589657,0.0805909596433098,1.00096301463402,10000
"fert.bclim[2,3]",0.00110292158559855,0.0352729002300594,-0.0621438800290552,-0.01964843313581,0.000988243605776399,0.0214910534056045,0.0628688961354153,1.00265736991759,10000
"fert.bclim[3,3]",0.00209383353796797,0.0300843605769322,-0.0547264799431597,-0.017523394884502,0.00214946853638527,0.0216938038398373,0.0605450880857999,1.00094511102469,10000
"fert.bsize",2.32477784908419,0.099416797009593,2.13252358912656,2.25730183342531,2.32596787802365,2.39147528909071,2.51880313827858,1.00088037886882,10000
"fert.fit",1375.76389196237,63.7453809586768,1259.85213741969,1332.56566892145,1372.63822362673,1415.36912585467,1509.63246675422,1.00086560670504,10000
"fert.fit.new",1387.22475008309,56.2774579933054,1279.00598362477,1348.77500883503,1386.87449260774,1424.47592871203,1498.80023054357,1.00117807577626,6200
"fert.mu",-0.30694242786952,0.194331813525981,-0.695758288839387,-0.431483991476226,-0.3057865344856,-0.180799043476809,0.0725864834870723,1.0008786303111,10000
"fert.sigma.overdisp",0.842049332381871,0.0209854794772729,0.801609737525792,0.827722483137263,0.841896415608661,0.856159816858222,0.883999630300542,1.00110086791391,8200
"fert.sigma.plot",0.302041499501058,0.0928174515850669,0.174714571615479,0.239099827648147,0.284404920812833,0.345740027829223,0.531120327055708,1.00098597492493,10000
"fert.sigma.year",0.359484474126427,0.130851750564124,0.166013517719965,0.267740432060045,0.338083348229502,0.428164270796786,0.666678187178831,1.00122153153467,5500
"fert.z[1,1]",0.0711428571428571,0.257075563017752,0,0,0,0,1,1.00176733054066,4000
"fert.z[2,1]",0.0147619047619048,0.120604213042619,0,0,0,0,0,1.00180248672744,10000
"fert.z[3,1]",0.313809523809524,0.46406208253228,0,0,0,1,1,1.00137678781575,3800
"fert.z[1,2]",0.0520952380952381,0.222229673298251,0,0,0,0,1,1.00087792071026,10000
"fert.z[2,2]",0.0256190476190476,0.158003448208341,0,0,0,0,1,1.00093695667642,10000
"fert.z[3,2]",0.0255238095238095,0.157717195294468,0,0,0,0,1,1.00086498217119,10000
"fert.z[1,3]",0.0433333333333333,0.203616070288555,0,0,0,0,1,1.00089797606182,10000
"fert.z[2,3]",0.0313333333333333,0.174225275018345,0,0,0,0,1,1.00519301241997,3100
"fert.z[3,3]",0.0221904761904762,0.147309625060782,0,0,0,0,0,1.00220038345683,9800
"fert.zsize",1,0,1,1,1,1,1,1,1
"flow.bclim[1,1]",0.00510306588958076,0.0705253820359784,-0.0756678104727219,-0.0207860012665542,0.00167652683567249,0.0238314593041054,0.124616377976397,1.00243260670716,5700
"flow.bclim[2,1]",-0.0148509610578603,0.04403467062028,-0.120013373837906,-0.032909736390164,-0.0111949551065562,0.0102647652760762,0.0511292898383789,1.00131529878481,4400
"flow.bclim[3,1]",0.684591177368318,0.136535180770544,0.420147978046505,0.592108294120139,0.682770308976642,0.772755295065177,0.959980861099065,1.00158301824827,2800
"flow.bclim[1,2]",-0.0406363324460116,0.154616089788882,-0.53515837287192,-0.0332229267442015,-0.00793892347652853,0.0159347312685186,0.0671942596475099,1.00570978503406,4300
"flow.bclim[2,2]",0.00331848316911859,0.0539224969678514,-0.0693820165376427,-0.0200288292492392,0.00185127540647581,0.0245942329244722,0.0843472399767662,1.00102816443046,10000
"flow.bclim[3,2]",-0.00426384144541166,0.039088855278202,-0.0759442043507615,-0.0246463575819213,-0.00352864629657628,0.0184908580353681,0.0616457669071756,1.00326108672833,3300
"flow.bclim[1,3]",-0.011680320558867,0.111942808796069,-0.311672249186722,-0.0266033569535739,-0.00275044629106888,0.0207050733146276,0.095089474371358,1.00090293068363,10000
"flow.bclim[2,3]",0.0066253045219769,0.0951701537271618,-0.0932140214824082,-0.0211446566291208,0.00120597937224006,0.0242071036986033,0.198004459449122,1.00285846945459,4200
"flow.bclim[3,3]",0.0520211424942931,0.112102466848075,-0.0479970754693374,-0.00500709169943353,0.0181354849795042,0.0481948429914154,0.405459328036016,1.00952257293807,540
"flow.bsize",5.79467129371102,0.21927421206377,5.37766607467317,5.64493731128844,5.79072290350395,5.93894607594452,6.23944429084085,1.00100037140136,10000
