"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"b0",0.100219563924873,0.00134804857835432,0.0975609891591667,0.0993234089032553,0.100253152092026,0.101116194233977,0.102840407556715,1.00078872037688,2400
"b1",-0.429631919263868,0.0145768088762473,-0.4581791552786,-0.439421782984246,-0.429626677185008,-0.419985495455807,-0.40099522607246,1.00044436157686,2400
"deviance",13607.0301514349,2.5484367754485,13604.2180818052,13605.1590659581,13606.3676042225,13608.1900847903,13613.7174761929,1.0009155658322,2400
"sig",0.935682998432643,0.00942559842257632,0.917061486633498,0.929034377761903,0.935638542765762,0.942039923865171,0.954888408163215,1.00117515255467,2400
