"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"min_temp_cool",-0.309846413041581,0.280319275404578,-0.518402290416729,0.426267585291781,-0.087555125373856,0.14613812727149,0.378526049051867,0.450185620771761
"min_temp_warm",-0.277411340765087,0.51055682069196,-0.00831956056320238,-0.589729328755768,-0.26749834699297,0.010417951361764,0.369483497987688,-0.326102483795165
"mean_temp_cool",-0.42488806074197,-0.184386333452852,-0.485147956946083,0.126728694231154,0.05592333672184,0.192443532364039,-0.36685331786087,-0.599416236216428
"mean_temp_warm",-0.488486123685884,0.297804033866359,0.193000075472687,-0.210609398122558,0.150984883109082,0.00167262954816526,-0.610534647931291,0.442195576332014
"max_temp_cool",-0.330838958094257,-0.454347727545365,-0.142478994846397,-0.149836039569481,-0.279025879788367,-0.731612843889645,0.0841155238324106,0.145514285448529
"max_temp_warm",-0.416832673725279,-0.0130877778960872,0.392632888655274,0.237426931010277,0.634454248909732,-0.165476207330378,0.383355456213424,-0.196649750575418
"tot_prcp_cool",0.217555000798197,0.573143817134475,-0.0489129032357838,0.393622855808606,-0.0471084261726787,-0.585370471343473,-0.24162869792206,-0.252155391759701
"tot_prcp_warm",0.278128601001926,0.0545003812366125,-0.530772041098743,-0.419925523251394,0.642065448760078,-0.190261625008913,0.0210904465609419,0.112807143750032
