"","b0","b1","deviance","sig"
"1",0.099626727779304,-0.435844562105141,13604.453020301,0.937708250551568
"2",0.101409048871673,-0.43689290069473,13605.2227224534,0.931267622399141
"3",0.101115744525392,-0.441468338814752,13605.8307176608,0.927518162977478
"4",0.102020312912452,-0.473820740608544,13614.2889754355,0.933202241982569
"5",0.103529918538983,-0.434668999063884,13611.8633601473,0.948992457493736
"6",0.100466548321724,-0.409635982391481,13606.0634140263,0.939209826355077
"7",0.098021333241031,-0.417175795626018,13607.214067678,0.935061801705805
"8",0.102499900056626,-0.415765642970504,13608.2760267558,0.933057915329243
"9",0.0994784608792652,-0.431678400034701,13606.9004500902,0.921060057070165
"10",0.102594070310096,-0.428393226323756,13607.2458129759,0.934765835411595
"11",0.0988918734873667,-0.426309161393749,13607.6126128016,0.95116422003083
"12",0.100277929618178,-0.441913303335225,13604.8765907251,0.939721502397144
"13",0.102499494981968,-0.44456588524107,13607.9065099062,0.940979041159784
"14",0.100211032719432,-0.435391321595866,13604.4195989933,0.940595581118473
"15",0.098073033590022,-0.425608341069455,13607.7238862081,0.945868501397228
"16",0.100439190289128,-0.427104202291971,13604.1196252465,0.933562750546816
"17",0.101109363646325,-0.415529255241377,13605.5597450189,0.937906530406219
"18",0.0977899821146052,-0.421304970513111,13610.8123664147,0.91939035015474
"19",0.100789547005617,-0.462293885071517,13609.0910988617,0.933323343905159
"20",0.10187945097353,-0.444889660045771,13607.2478610558,0.944621915779971
"21",0.0988326452890231,-0.433607085523115,13605.25406521,0.93756358681831
"22",0.101488096987695,-0.438892201993158,13605.8291574054,0.928597552288408
"23",0.100425037091329,-0.426773685011896,13604.4349215126,0.930153073578702
"24",0.100516989383415,-0.433624078253621,13613.4464960995,0.907991169659163
"25",0.0977991971374385,-0.430098388615235,13608.695708054,0.925549631032352
"26",0.0995887381197014,-0.42362588340288,13604.350485115,0.93479607140031
"27",0.0996366200287755,-0.416072579972806,13612.0370172767,0.911552620119052
"28",0.0996207505146168,-0.452558453074793,13609.7964166912,0.952408282726473
"29",0.100671017558673,-0.428805954744172,13604.1787483654,0.937883355151914
"30",0.0993239800407213,-0.423641382592151,13604.5536866017,0.935248681720444
"31",0.0969506353420724,-0.416496390394008,13611.5182359501,0.927415507315652
"32",0.100930302797171,-0.452988805336905,13607.2542448298,0.929006441548391
"33",0.0992768954332393,-0.434575829500619,13604.6720528177,0.934794326387348
"34",0.100268261723726,-0.407346650269982,13606.4322556386,0.932794693412181
"35",0.10045436266802,-0.465494385587192,13611.1153930372,0.926407239641861
"36",0.100150700393965,-0.401921069139788,13607.6566291793,0.932977021847643
"37",0.0984135182342653,-0.431182908048833,13606.7622048577,0.944658279940373
"38",0.100338357083907,-0.45740282093076,13607.7780335308,0.940181832381235
"39",0.10087995342584,-0.433010683498425,13604.7680996495,0.942294340724035
"40",0.102611887651664,-0.400592132615394,13611.8784400166,0.936262726715824
"41",0.100174021478109,-0.419985774829457,13605.3284286248,0.926993396680246
"42",0.0995647125693918,-0.421344373844757,13605.2061793942,0.943773040590364
"43",0.100159927801198,-0.423240019983922,13605.4930206449,0.946579894907523
"44",0.0989487192486407,-0.4400597256602,13605.7020093341,0.932467712341099
"45",0.100300476999046,-0.426035117924954,13604.2915053306,0.931342896338837
"46",0.0986347577017812,-0.420985688819515,13606.7780208784,0.925984469315693
"47",0.0994559742249984,-0.438510116344046,13604.7888700329,0.93439870794597
"48",0.10202410332821,-0.421345621576507,13606.4744834677,0.939529300707869
"49",0.0999911456908529,-0.415665346940598,13604.9801798986,0.938653898052296
"50",0.0997461254349244,-0.435834471666278,13604.8196679635,0.929324955205992
"51",0.10195013854167,-0.437772340243589,13606.487416125,0.943277930242259
"52",0.0984104556998955,-0.415459540799984,13607.8855292127,0.925215276066323
"53",0.101779089646914,-0.442530736998275,13606.2990073484,0.941351789407096
"54",0.0993787933864345,-0.416860742090521,13605.4489591601,0.941955464356253
"55",0.101752101508762,-0.438416645110627,13605.9529108218,0.930187348385903
"56",0.0984953419012007,-0.417958122231271,13607.3617671673,0.925612319699128
