"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance",12952.0951734797,52.3422999527275,12850.5893290417,12915.8345467977,12950.8528313589,12987.4441307768,13055.5570116367,1.00112891064923,6700
"fert.bclim[1,1]",0.0970987055638811,31.2083397045202,-60.7510256772076,-20.482124955623,-0.208681357919865,20.7874474997747,62.8054746816523,1.00131317706264,4200
"fert.bclim[2,1]",0.232450909114041,31.8816759164047,-61.5464240282528,-21.1168982329847,0.26331117838319,21.7417633501787,62.4964963289044,1.00088534673016,9000
"fert.bclim[3,1]",0.156072518333222,0.0471603611096635,0.0616174002502647,0.124719802169169,0.156401200578501,0.187337039745696,0.248542236983736,1.00336659709111,790
"fert.bclim[1,2]",-0.329864730797413,31.3978292790472,-61.1592228947506,-21.608849048671,-0.743216332001892,21.0549937598886,62.0858602037397,1.00083931731028,9000
"fert.bclim[2,2]",0.0809201115708847,31.6778880805346,-62.4709070735219,-20.9277863820084,0.0879705856071933,21.2510168143156,62.6309914770472,1.00085889775314,9000
"fert.bclim[3,2]",0.376075719218083,31.3921174719924,-60.2361126659093,-20.9715204404949,0.444951278400961,21.3136991960451,61.4059692329166,1.00134004492007,3900
"fert.bclim[1,3]",0.168357364419202,31.384306602906,-61.0252607679971,-21.290436662257,-0.0181171195093554,21.6128631306206,61.5911382524459,1.00091821739362,9000
"fert.bclim[2,3]",0.106250279663898,31.1994235353654,-61.7273144185878,-20.8226439063556,0.08790923340104,21.4434526174626,60.4429471813472,1.00085737081075,9000
"fert.bclim[3,3]",-0.316555118478188,31.870369278064,-63.7936435492297,-21.8017068171989,0.02352653554063,20.9568325981603,62.4272795703707,1.00116628673454,6000
"fert.bsize",2.35366195788969,0.0902360025653441,2.17550739660814,2.29245910870237,2.35475198216777,2.41699781492925,2.52500627652555,1.02806304680338,77
"fert.eps.year[1]",-0.0511154299863629,0.196754122370838,-0.444107227170484,-0.178822550466087,-0.0474795619426051,0.0778917771116464,0.334686494546197,1.00259589186072,1100
"fert.eps.year[2]",0.0322907563660611,0.182453574373535,-0.323177527726292,-0.0891407555264815,0.0327284020002659,0.153587088879831,0.393096116137945,1.0018080584476,2100
