"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"min_temp_cool",0.180188183028469,-0.394202928589378,-0.616455952164556,-0.325029066510883,-0.100954623753155,0.524524603040266,0.18747837882268,-0.0775138502123472
"min_temp_warm",0.227110834617151,-0.563923763940725,-0.313507745108181,0.395649713496491,-0.068163477427012,-0.551001767530657,-0.159405288567627,0.204757421671535
"mean_temp_cool",-0.355874649218228,-0.0744878160869539,-0.22428859008824,-0.55914032983834,0.529328196091965,-0.325308368020901,-0.342501539314585,-0.0392471819070364
"mean_temp_warm",-0.429282388242649,-0.313055749796407,0.0937896890056747,0.402815180934687,0.0289542804643467,0.428200850151401,-0.535273102625159,-0.275580369560891
"max_temp_cool",-0.470029029885108,-0.0962467846432982,0.0584237392964081,-0.244599993937507,-0.554669298202799,0.0197154301363087,-0.0773790083821849,0.626524171657432
"max_temp_warm",-0.393549974501394,0.270138954691768,-0.423251720432932,0.101011134306076,-0.429139556585969,-0.312858515144046,0.156586198844238,-0.525583149873859
"tot_prcp_cool",0.42629432401659,-0.0637446372045555,0.247560663288452,-0.401718499202054,-0.460740159719132,-0.110689791834649,-0.503745988276121,-0.336529330714626
"tot_prcp_warm",0.217915191373494,0.580292878777617,-0.467708714073078,0.177508514727765,0.005910209736961,0.146860859008599,-0.501348624524774,0.30423501505765
